Fit             Iteration       K2RT            KD1             kdephos         km1             km2             kphos           
1.93836567e+03  888             1.08913160e+01  2.08814808e+02  1.21826523e+02  2.41119830e+01  1.09164606e+02  1.64728463e+02  
1.93841164e+03  538             1.20417380e+01  2.18379367e+02  1.09555706e+02  2.08458950e+01  1.10323641e+02  1.43799683e+02  
1.93860926e+03  684             1.22571490e+01  2.17634217e+02  1.10072007e+02  4.23256780e+01  1.17830666e+02  1.42667999e+02  
1.93895388e+03  860             1.18346420e+01  2.16185861e+02  1.06861694e+02  3.41705360e+01  1.10688512e+02  1.39302248e+02  
1.93900550e+03  927             1.15824790e+01  1.43968229e+02  1.19815822e+02  4.02009250e+01  1.20229301e+02  1.61951185e+02  
1.93917594e+03  788             1.38120070e+01  2.04701651e+02  1.07578625e+02  1.80181370e+01  1.16920272e+02  1.35728701e+02  
1.93918782e+03  976             1.10687680e+01  2.16753396e+02  1.15286930e+02  4.36350310e+01  1.10691372e+02  1.53503404e+02  
1.93975127e+03  623             1.39780980e+01  2.17082067e+02  1.19489572e+02  3.55813080e+01  1.12904978e+02  1.52703442e+02  
1.93998439e+03  640             1.45866360e+01  2.06694920e+02  1.09237541e+02  1.78294530e+01  1.09534751e+02  1.37041887e+02  
1.94003880e+03  984             1.18073530e+01  2.19470132e+02  1.33512540e+02  1.97411400e+01  1.09985679e+02  1.79333777e+02  
1.94139267e+03  943             1.23216770e+01  2.42359736e+02  1.13519407e+02  3.65864080e+01  1.15839567e+02  1.47530762e+02  
1.94177417e+03  959             1.33265610e+01  2.26280034e+02  1.14987719e+02  3.31653600e+01  1.16372798e+02  1.46029347e+02  
1.94197112e+03  633             1.06329910e+01  2.32256932e+02  8.28012300e+01  2.20321780e+01  1.09015496e+02  1.10973850e+02  
1.94218831e+03  956             1.38117370e+01  2.18365113e+02  1.14597991e+02  3.63023820e+01  1.10121987e+02  1.47979423e+02  
1.94439048e+03  761             1.42957800e+01  1.97743406e+02  1.09233754e+02  6.03712500e+00  1.24138504e+02  1.39653263e+02  
1.94455164e+03  786             1.15565200e+01  2.16523260e+02  1.09771228e+02  3.25192670e+01  1.11215739e+02  1.42327377e+02  
1.94474923e+03  427             1.11421060e+01  2.19393057e+02  1.11858114e+02  2.29123950e+01  1.15963171e+02  1.46100356e+02  
1.94585136e+03  395             1.30131840e+01  2.47613497e+02  8.20116730e+01  1.90142870e+01  1.05029565e+02  1.05607606e+02  
1.94729229e+03  872             1.12799620e+01  1.85057088e+02  1.07048145e+02  2.93763550e+01  1.14439606e+02  1.38015886e+02  
1.94981548e+03  167             7.15465700e+00  2.47999409e+02  4.66784110e+01  1.95615300e+01  1.03464242e+02  -6.55481970e+01 
1.95077960e+03  546             1.36204470e+01  2.18271184e+02  1.14823392e+02  2.08538630e+01  1.37919442e+02  1.41969396e+02  
1.95087184e+03  948             8.15209900e+00  2.34266772e+02  6.75165630e+01  5.67819960e+01  1.05659102e+02  9.61380050e+01  
1.95250982e+03  731             1.25516940e+01  2.17477480e+02  1.18950239e+02  3.73855710e+01  1.16254010e+02  1.50403556e+02  
1.95314157e+03  989             1.07094650e+01  1.68115400e+02  1.31186664e+02  5.00247590e+01  1.13881139e+02  1.84146977e+02  
1.95463949e+03  522             1.80537720e+01  2.55177772e+02  1.02444563e+02  2.80857960e+01  1.12062884e+02  1.23888993e+02  
1.95551738e+03  857             1.16927860e+01  2.62744110e+02  1.08115462e+02  1.83136800e+01  1.17174679e+02  1.45670200e+02  
1.95582597e+03  559             2.25106440e+01  2.02700581e+02  2.22649699e+02  1.75564470e+01  1.16795735e+02  2.62096366e+02  
1.95610736e+03  469             1.28635930e+01  3.60106936e+02  1.07872806e+02  2.06475810e+01  1.04871972e+02  1.39157259e+02  
1.95669550e+03  954             1.06269250e+01  1.85185827e+02  1.11262550e+02  6.02354980e+01  1.32388582e+02  1.53702569e+02  
1.95670843e+03  905             1.41367410e+01  2.81253342e+02  1.15343792e+02  4.26904860e+01  1.12737379e+02  1.43166726e+02  
1.95702575e+03  613             2.09238330e+01  2.11107099e+02  1.18617267e+02  1.62141450e+01  1.17477943e+02  1.39145849e+02  
1.95753113e+03  65              5.72380800e+00  1.93437449e+02  6.15221110e+01  1.99526600e+01  1.33137062e+02  -9.25437570e+01 
1.95766347e+03  654             1.53991920e+01  2.30602825e+02  1.13320944e+02  2.56123270e+01  1.10613965e+02  1.45373714e+02  
1.95847699e+03  468             1.76241160e+01  2.40664051e+02  1.08418053e+02  1.15199581e+02  1.23313030e+02  1.28861959e+02  
1.95917723e+03  292             1.13676410e+01  3.51697408e+02  1.22574486e+02  2.07013790e+01  1.13030828e+02  -1.61021759e+02 
1.96082203e+03  962             2.30853930e+01  2.01655305e+02  3.28697271e+02  3.05282290e+01  1.09504580e+02  4.15094145e+02  
1.96263212e+03  892             1.33896780e+01  2.21286076e+02  1.07997020e+02  2.61539150e+01  1.15429450e+02  1.33136064e+02  
1.96302976e+03  693             7.52509200e+00  2.38575815e+02  1.19824702e+02  2.26152940e+01  1.10668320e+02  1.75706064e+02  
1.96428895e+03  926             1.29137360e+01  2.46912059e+02  1.14012438e+02  2.27343640e+01  1.18180149e+02  1.41889542e+02  
1.96450462e+03  638             1.59810580e+01  2.53056847e+02  1.17951156e+02  7.12524610e+01  1.55912764e+02  1.40593666e+02  
1.96457431e+03  668             2.09866460e+01  2.32965435e+02  1.08010664e+02  4.63507140e+01  1.23428832e+02  1.25322285e+02  
1.96546415e+03  461             9.74387200e+00  2.18987468e+02  1.11658759e+02  2.28680560e+01  1.20470602e+02  1.58787398e+02  
1.96566816e+03  776             1.21496570e+01  2.91262582e+02  1.08240690e+02  3.88407360e+01  1.14265416e+02  1.36713449e+02  
1.96572233e+03  835             1.65543190e+01  2.18238226e+02  1.09203058e+02  5.47894790e+01  1.24984417e+02  1.37903519e+02  
1.96585087e+03  848             1.49610610e+01  2.55349637e+02  1.08687787e+02  3.91471800e+01  1.29144038e+02  1.39497525e+02  
1.96763198e+03  771             1.41389340e+01  2.15044031e+02  1.08288034e+02  3.14723970e+01  1.11032444e+02  1.31848608e+02  
1.96954596e+03  364             1.76178480e+01  3.06860341e+02  8.14499950e+01  2.53157560e+01  1.49813166e+02  -9.59784400e+01 
1.97056040e+03  973             1.05987240e+01  1.78585627e+02  1.20995648e+02  2.21750560e+01  1.43626332e+02  1.54369144e+02  
1.97161600e+03  681             1.04977270e+01  2.21808395e+02  8.95928100e+01  1.65537250e+01  1.08382034e+02  1.14744408e+02  
1.97301517e+03  975             1.25226580e+01  3.79570402e+02  1.43595765e+02  3.49070240e+01  1.09876744e+02  1.95385205e+02  
1.97389334e+03  708             1.21357410e+01  2.40751772e+02  1.19329611e+02  3.74171900e+01  1.10837387e+02  1.63709118e+02  
1.97467317e+03  504             1.00910940e+01  3.19682561e+02  1.10010000e+02  2.40160590e+01  1.11128779e+02  1.44823649e+02  
1.97536291e+03  791             1.48838800e+01  2.96321511e+02  1.08565949e+02  3.43981900e+01  1.14708305e+02  1.31083082e+02  
1.97559648e+03  843             1.14806730e+01  2.15989411e+02  1.12612210e+02  3.52348160e+01  1.23309587e+02  1.55321306e+02  
1.97587404e+03  951             1.13566990e+01  2.50802627e+02  1.16861865e+02  2.76700040e+01  1.08529151e+02  1.49202198e+02  
1.97652554e+03  990             1.09647140e+01  2.04510112e+02  1.13871983e+02  2.04851490e+01  1.09669656e+02  1.45676190e+02  
1.97807340e+03  363             9.30254500e+00  4.12415079e+02  4.42360880e+01  2.32196410e+01  1.03899884e+02  -6.06198950e+01 
1.97867962e+03  751             1.33557960e+01  2.70258158e+02  1.17139166e+02  6.62734920e+01  1.16040956e+02  1.43946452e+02  
1.98006375e+03  808             1.23215050e+01  3.52926192e+02  1.02741300e+02  1.68999780e+01  1.14218059e+02  1.38348832e+02  
1.98193910e+03  873             1.19000360e+01  2.63702397e+02  1.06204015e+02  2.77301810e+01  1.12100520e+02  1.32837297e+02  
1.98234982e+03  768             1.38920830e+01  2.19861823e+02  1.09636259e+02  -1.03808010e+01 1.29649718e+02  1.45038471e+02  
1.98433334e+03  887             1.43064330e+01  2.84885659e+02  1.05141138e+02  1.72126888e+02  1.24416966e+02  1.26337778e+02  
1.98623176e+03  717             1.78726080e+01  2.46781229e+02  1.09644778e+02  3.44911660e+01  1.19508510e+02  1.38345203e+02  
1.98671995e+03  604             2.36127690e+01  2.24653110e+02  1.17695753e+02  8.50636740e+01  1.59735421e+02  1.39421671e+02  
1.98971287e+03  219             8.23633700e+00  4.05714571e+02  7.59511790e+01  2.00803230e+01  1.04265213e+02  -1.03085885e+02 
1.99239630e+03  739             7.36341500e+00  2.80194981e+02  7.58084330e+01  3.37056220e+01  1.08147328e+02  1.04679247e+02  
1.99319437e+03  941             1.11420350e+01  2.05280091e+02  1.13527663e+02  2.94538820e+01  1.12025437e+02  1.60315907e+02  
1.99424069e+03  932             1.42233200e+01  3.44270115e+02  1.22802264e+02  3.62245240e+01  1.24421969e+02  1.62769497e+02  
1.99434555e+03  724             1.00469600e+01  6.12548140e+02  1.06081653e+02  2.13304490e+01  1.06598079e+02  -1.47493083e+02 
1.99498205e+03  946             1.41542350e+01  1.98161553e+02  1.10959394e+02  3.47376690e+01  1.22052139e+02  1.47955324e+02  
1.99669547e+03  801             1.17278630e+01  2.36616568e+02  1.13676857e+02  2.65120150e+01  1.27054287e+02  1.40783778e+02  
1.99784791e+03  863             1.16709790e+01  2.63030885e+02  7.76111210e+01  4.04886580e+01  1.25986487e+02  1.05478089e+02  
1.99885147e+03  741             1.19995880e+01  2.26350259e+02  1.08844398e+02  5.10695430e+01  1.22283706e+02  1.33890381e+02  
1.99936053e+03  692             5.30914350e+01  2.01326927e+02  3.97090397e+02  1.99108260e+01  1.10243619e+02  4.39982706e+02  
1.99946335e+03  958             1.22400070e+01  2.86427807e+02  1.32126237e+02  2.34817510e+01  1.08673769e+02  1.65193098e+02  
2.00391224e+03  991             1.50175140e+01  2.88980364e+02  1.35792826e+02  3.44266300e+01  1.09136105e+02  1.62686553e+02  
2.00716277e+03  903             1.70824340e+01  2.20044293e+02  1.18943639e+02  6.73431900e+01  1.20626275e+02  1.37313963e+02  
2.00896720e+03  315             7.64462800e+00  1.88112455e+02  1.36812453e+02  2.20173480e+01  1.16644961e+02  2.15997923e+02  
2.01105558e+03  354             8.78747200e+00  2.15649264e+02  1.19828256e+02  1.94503870e+01  1.58613119e+02  -1.56012466e+02 
2.01139850e+03  593             3.47423240e+01  3.32835867e+02  1.18965217e+02  2.80182330e+01  1.11506880e+02  1.34107064e+02  
2.01476368e+03  591             1.09718010e+01  3.14300323e+02  9.64829810e+01  1.61495560e+01  1.13838771e+02  1.35894267e+02  
