Fit             Iteration       K1              K2              alpha           
3.44309000e-01  gen6perm15      9.91236000e-01  1.43381420e+03  1.33205000e+00  
3.64237000e-01  gen6perm39      1.38388000e-01  1.57973638e+02  8.69897000e-01  
3.85850000e-01  gen10perm15     9.05289000e-01  1.57973638e+02  9.53202000e-01  
3.86067000e-01  gen8perm39      9.76992000e-01  1.57973638e+02  9.53202000e-01  
3.89856000e-01  gen10perm39     9.91236000e-01  1.43381420e+03  9.53202000e-01  
4.06692000e-01  gen3perm15      5.80741000e-01  2.86475850e+03  1.33205000e+00  
4.08504000e-01  gen4perm39      5.80741000e-01  2.86475850e+03  1.33205000e+00  
4.09945000e-01  gen2perm15      4.23058000e-01  2.82638315e+03  9.43842000e-01  
4.13407000e-01  gen1perm15      1.52694000e-01  1.67609948e+02  8.62467000e-01  
4.18360000e-01  gen1perm39      9.39869000e-01  8.10551510e+01  1.20252500e+00  
4.26917000e-01  gen7perm39      9.91236000e-01  1.57973638e+02  1.33205000e+00  
4.27017000e-01  gen5perm39      9.39869000e-01  1.67609948e+02  8.69897000e-01  
4.30240000e-01  gen9perm34      9.05289000e-01  1.35715396e+03  9.53202000e-01  
4.31269000e-01  gen7perm15      1.38388000e-01  1.43381420e+03  1.33205000e+00  
4.39479000e-01  gen2perm39      3.77260000e-02  3.92370426e+03  1.40829400e+00  
4.39642000e-01  gen5perm24      9.91236000e-01  1.43381420e+03  9.53202000e-01  
4.43392000e-01  gen8perm15      9.91236000e-01  1.35715396e+03  9.53202000e-01  
4.43765000e-01  gen9perm15      8.98074000e-01  1.57973638e+02  9.53202000e-01  
4.45091000e-01  gen4perm24      7.79200000e-03  6.20269277e+02  1.43292200e+00  
4.52651000e-01  gen8perm34      9.91236000e-01  1.43381420e+03  1.33205000e+00  
4.53115000e-01  gen3perm39      1.52694000e-01  1.67609948e+02  8.69897000e-01  
4.53927000e-01  gen7perm24      9.39869000e-01  1.57973638e+02  7.37998000e-01  
4.66147000e-01  gen2perm34      1.52694000e-01  1.67609948e+02  8.00690000e-01  
4.71346000e-01  gen5perm15      5.80741000e-01  2.86475850e+03  1.11058800e+00  
4.72379000e-01  gen3perm34      1.38388000e-01  1.98445746e+02  1.40829400e+00  
4.73617000e-01  gen6perm24      9.39869000e-01  1.43381420e+03  8.17278000e-01  
4.76758000e-01  gen9perm24      9.91236000e-01  1.35715396e+03  1.33205000e+00  
4.80115000e-01  gen1perm24      7.14362600e+00  1.67967894e+03  9.93518000e-01  
4.81293000e-01  gen1perm34      7.51620300e+00  1.00277158e+02  1.35265600e+00  
4.81480000e-01  gen8perm24      9.91236000e-01  1.43381420e+03  1.33205000e+00  
4.81634000e-01  gen10perm34     9.91236000e-01  1.35715396e+03  9.53202000e-01  
4.83797000e-01  gen4perm15      1.06123700e+00  3.31035123e+03  1.40829400e+00  
