Fit             Permutation     K2RT            KD1             kdephos         km1             km2             kphos           
2.03000000e+03  gen5perm6       1.47880730e+01  3.49336080e+01  1.06475300e+00  9.90773449e+02  -3.99526101e+02 1.34309100e+00  
2.32300000e+03  gen11perm5      2.00050142e+03  -3.65184280e+01 2.07577720e+01  7.28330194e+03  -3.72471936e+02 -1.72802190e+01 
2.32800000e+03  gen4perm8       -1.28229296e+02 1.32818019e+02  -3.72817600e+00 2.39942206e+03  -1.40602100e+01 3.27141700e+00  
2.37900000e+03  gen10perm8      6.05985010e+02  -1.19963387e+03 1.80439520e+01  -1.74193999e+04 -1.19431781e+03 -1.81090140e+01 
2.49200000e+03  gen7perm10      -2.10198670e+02 6.55368830e+01  -6.04791400e+00 3.40115449e+03  -9.37039000e+00 5.02005000e+00  
3.24200000e+03  gen5perm8       -2.02531258e+02 1.90821309e+02  -6.20317900e+00 3.51920405e+03  -2.21471800e+01 4.53192500e+00  
3.74900000e+03  gen13perm8      -4.15672978e+03 7.57692512e+03  -1.12659547e+02 9.69973985e+04  6.15788171e+03  1.18998086e+02  
3.79300000e+03  gen6perm8       -2.76833220e+02 2.48824599e+02  -8.67818200e+00 4.63898604e+03  -3.02341500e+01 5.79243300e+00  
4.08400000e+03  gen18perm10     3.72639102e+04  -6.81054256e+03 2.24544614e+02  -1.80523108e+05 -8.01689449e+02 -1.54358670e+02 
4.29300000e+03  gen6perm6       7.44030100e+00  -1.43952426e+02 7.60069000e-01  -5.89945981e+02 5.60263260e+02  1.54903000e+00  
4.37400000e+03  gen3perm8       -5.39273340e+01 7.48147290e+01  -1.25317300e+00 1.27964006e+03  -5.97324000e+00 2.01090900e+00  
4.61500000e+03  gen14perm6      -3.45512029e+02 -7.97612912e+03 -2.30147610e+01 1.06201416e+04  5.05084177e+04  1.57821430e+01  
5.21900000e+03  gen11perm10     9.28323428e+02  -2.83080031e+02 4.37996840e+01  -2.02709188e+03 -6.89134976e+02 -2.33618580e+01 
5.69100000e+03  gen13perm6      -2.64313178e+02 -1.15906690e+03 -1.28902480e+01 3.09346658e+04  2.23163141e+04  6.68281000e+00  
5.71600000e+03  gen2perm8       2.03746280e+01  1.68114390e+01  1.22183000e+00  1.59858067e+02  2.11373000e+00  7.50401000e-01  
5.92500000e+03  gen0perm10      2.41780000e-02  3.41661380e+01  2.74700000e-03  6.79608909e+02  3.62075100e+00  7.36995000e-01  
5.92500000e+03  gen1perm10      2.41780000e-02  3.41661380e+01  2.74700000e-03  6.79608909e+02  3.62075100e+00  7.36995000e-01  
5.92500000e+03  gen2perm10      2.41780000e-02  3.41661380e+01  2.74700000e-03  6.79608909e+02  3.62075100e+00  7.36995000e-01  
5.92500000e+03  gen3perm10      2.41780000e-02  3.41661380e+01  2.74700000e-03  6.79608909e+02  3.62075100e+00  7.36995000e-01  
5.92500000e+03  gen4perm10      2.41780000e-02  3.41661380e+01  2.74700000e-03  6.79608909e+02  3.62075100e+00  7.36995000e-01  
5.99300000e+03  gen8perm10      -3.59798474e+02 1.79173138e+02  -1.78101930e+01 5.64383870e+03  -2.33816132e+02 8.71940300e+00  
6.00200000e+03  gen12perm6      -4.82923710e+01 2.31468033e+03  -2.95493000e-01 3.16625282e+04  -2.30628942e+03 1.61917000e-01  
6.13800000e+03  gen11perm8      2.63440571e+02  -3.37785700e+01 -2.43062350e+01 8.33001062e+02  -6.65183928e+02 -1.17632480e+01 
6.38900000e+03  gen22perm8      6.95108613e+04  1.81718986e+04  1.76974932e+03  8.63388150e+05  -2.09625961e+05 -2.17158601e+03 
