Fit             Permutation     K2RT            KD1             kdephos         km1             km2             kphos           
1.65635948e+03  2510            1.50940360e+01  -2.29992110e+01 4.53979890e+01  7.30808670e+01  -8.24100000e-03 8.35999430e+01  
1.66822048e+03  2384            1.86611880e+01  -2.52069600e+01 4.79333000e+01  5.66326320e+01  -7.36400000e-03 8.33632870e+01  
1.68616471e+03  2443            2.53732230e+01  -5.55747000e-01 4.68934290e+01  6.73188430e+01  -7.06100000e-03 7.17863580e+01  
1.69076227e+03  2237            2.64680610e+01  -4.68911000e-01 5.36418270e+01  6.67617900e+01  -7.61900000e-03 7.99644130e+01  
1.69607169e+03  1107            2.52610570e+01  -1.31386000e-01 5.38745230e+01  7.31900000e+01  -6.73100000e-03 8.02814170e+01  
1.69932814e+03  2206            2.60125710e+01  -6.21964200e+00 5.39158940e+01  7.16985290e+01  9.62900000e-03  7.99759920e+01  
1.69988492e+03  2067            2.55443100e+01  -1.81351000e-01 5.41250630e+01  7.31836590e+01  9.79400000e-03  8.13741610e+01  
1.70013579e+03  2377            2.75293210e+01  -4.46940000e-01 5.28660820e+01  6.97732890e+01  -6.70700000e-03 8.01786880e+01  
1.70022682e+03  1827            2.51964060e+01  1.63500000e-02  5.33910050e+01  7.40970700e+01  1.04030000e-02  7.81784730e+01  
1.70185339e+03  1490            2.56491800e+01  -2.85389000e-01 5.31075800e+01  7.26264770e+01  1.04480000e-02  7.79191590e+01  
1.70678445e+03  2295            2.49251790e+01  -2.65705000e-01 5.30677690e+01  7.38176570e+01  -1.05170000e-02 8.07791490e+01  
1.70910562e+03  2270            1.62222600e+01  5.81922000e-01  5.06311130e+01  7.70092190e+01  -1.90180000e-02 8.31471120e+01  
1.70952289e+03  2490            1.29995540e+01  -2.47391850e+01 4.80130800e+01  5.77463620e+01  1.95930000e-02  8.39503990e+01  
1.71021792e+03  2436            2.36053610e+01  -2.00388590e+01 5.45121580e+01  7.12045950e+01  -1.21330000e-02 8.00431340e+01  
1.71086881e+03  1807            1.60273040e+01  1.85518346e+02  5.05167350e+01  1.20928035e+02  1.49630000e-02  8.90390120e+01  
1.71170620e+03  2137            2.14938670e+01  -5.99470000e-02 5.31359430e+01  7.46039550e+01  -1.47200000e-02 8.04027900e+01  
1.71765494e+03  2414            1.61447950e+01  -3.24091000e-01 5.28395250e+01  6.94615030e+01  -7.22200000e-03 9.02502970e+01  
1.71777406e+03  2047            2.65897470e+01  1.94508982e+02  5.43588580e+01  6.38489190e+01  7.37300000e-03  8.20445630e+01  
1.71827348e+03  2444            2.60971010e+01  -5.54496000e-01 5.42052820e+01  6.36579870e+01  -1.20540000e-02 7.85380170e+01  
1.71918861e+03  2143            1.82088710e+01  4.28300000e-02  5.52707300e+01  7.29794350e+01  1.44790000e-02  8.49393830e+01  
1.71974053e+03  2448            2.78554080e+01  -2.90245000e-01 5.67920740e+01  1.16869889e+02  -1.09090000e-02 8.06493230e+01  
1.72032254e+03  2487            1.80547630e+01  1.15845680e+01  5.03521560e+01  5.34212480e+01  1.74000000e-02  8.33512280e+01  
1.72130310e+03  1997            2.36619360e+01  -3.62103000e-01 5.38916900e+01  5.95089280e+01  8.12300000e-03  7.84436590e+01  
1.72202692e+03  1347            2.62894530e+01  1.38517000e-01  5.27961940e+01  7.54226970e+01  9.98500000e-03  8.03063220e+01  
