Fit             Permutation     K2RT            KD1             kdephos         km1             km2             kphos           
1.63530978e+03  2419            3.76688000e+00  1.34933100e+00  5.63700000e-02  3.30088180e+02  1.34832420e+01  -9.26320000e-02 
1.63531480e+03  2387            3.80675100e+00  -1.94084000e-01 5.66640000e-02  3.47135990e+02  1.29396490e+01  -9.29670000e-02 
1.63531793e+03  2458            3.80838600e+00  5.42257000e-01  5.64190000e-02  3.43177015e+02  1.34410920e+01  -9.26900000e-02 
1.63533485e+03  2389            3.81123500e+00  -1.33119000e-01 5.66790000e-02  3.24290258e+02  1.35363000e+01  -9.29680000e-02 
1.63536675e+03  2388            3.81481800e+00  -2.41118000e-01 5.66820000e-02  3.52070963e+02  1.34188670e+01  -9.29740000e-02 
1.63537804e+03  2328            3.81079600e+00  -1.77077000e-01 5.66780000e-02  3.52781523e+02  1.34201320e+01  -9.30230000e-02 
1.63538829e+03  2276            3.79864800e+00  1.55346000e+00  5.63610000e-02  3.32031626e+02  1.34680980e+01  -9.26450000e-02 
1.63540010e+03  2362            3.79790300e+00  2.85798000e-01  5.67860000e-02  3.58362200e+02  1.32890280e+01  -9.30540000e-02 
1.63542177e+03  2374            3.81023800e+00  7.75620000e-02  5.66650000e-02  3.42318808e+02  1.34196450e+01  -9.30660000e-02 
1.63542566e+03  2443            3.77634500e+00  1.86835700e+00  5.63640000e-02  3.30469102e+02  1.34660890e+01  -9.27960000e-02 
1.63548099e+03  2372            3.80935600e+00  7.45013000e-01  5.68150000e-02  3.31803207e+02  1.33682420e+01  -9.30120000e-02 
1.63548331e+03  2450            3.76388800e+00  2.05344200e+00  5.63480000e-02  3.69728881e+02  1.34891480e+01  -9.25080000e-02 
1.63551286e+03  2456            3.74947400e+00  1.02501000e+00  5.64590000e-02  3.32559488e+02  1.34067410e+01  -9.27140000e-02 
1.63551343e+03  2484            3.75035800e+00  1.22942400e+00  5.63820000e-02  3.20489712e+02  1.34689040e+01  -9.31200000e-02 
1.63552854e+03  2366            3.79768400e+00  -1.25678000e-01 5.67030000e-02  3.82865260e+02  1.33993610e+01  -9.32670000e-02 
