Fit             Permutation     K2RT            KD1             kdephos         km1             km2             kphos           
1.63983730e+03  2492            4.23543100e+00  1.05564270e+01  5.87870000e-02  -4.25235000e-01 1.74274800e+01  9.35350000e-02  
1.64109015e+03  2348            4.31457100e+00  1.07402070e+01  5.91380000e-02  -4.25235000e-01 1.61983060e+01  9.37890000e-02  
1.64528102e+03  2108            3.48706700e+00  1.03237890e+01  6.12520000e-02  -4.25880000e-01 1.88200290e+01  1.03694000e-01  
1.65003002e+03  2043            3.58295200e+00  1.60771050e+01  6.32080000e-02  -5.08488000e-01 1.68869820e+01  1.02916000e-01  
1.66488295e+03  1603            6.21779300e+00  1.50513210e+01  5.90050000e-02  -5.44563000e-01 1.36449570e+01  8.58010000e-02  
1.66545087e+03  2506            5.88190000e+00  1.51038660e+01  6.06240000e-02  -4.26203000e-01 1.64151680e+01  8.69120000e-02  
1.66927694e+03  1909            -3.88087000e+00 1.98178130e+01  6.93050000e-02  -4.81430000e-02 1.41154570e+01  1.14405000e-01  
1.67320002e+03  2527            5.54900200e+00  1.17111940e+01  4.68070000e-02  -5.60729000e-01 9.79580200e+00  7.26010000e-02  
1.67337400e+03  1950            6.82002200e+00  1.51709790e+01  6.13930000e-02  -4.47349000e-01 1.39819940e+01  8.63150000e-02  
1.67421000e+03  1802            6.43145100e+00  1.39052610e+01  6.68690000e-02  -6.77654000e-01 1.31599550e+01  9.48400000e-02  
1.67456443e+03  2379            4.10249300e+00  1.24009920e+01  5.68660000e-02  -6.91063000e-01 1.13567330e+01  8.78460000e-02  
1.67465312e+03  2429            6.41172200e+00  1.60937370e+01  6.21860000e-02  -7.49660000e-02 1.02896250e+01  8.72470000e-02  
1.67518563e+03  2504            5.73678200e+00  1.07952160e+01  4.35350000e-02  -4.49137000e-01 1.76206640e+01  6.72070000e-02  
1.67700215e+03  2447            4.54359800e+00  9.42580100e+00  6.88630000e-02  -1.25909100e+00 1.72148690e+01  1.02909000e-01  
1.67825887e+03  2416            4.59969900e+00  1.10610760e+01  5.72560000e-02  -4.25235000e-01 1.42022500e+01  9.24580000e-02  
