Fit             Iteration       K2RT            KD1             kdephos         km1             km2             kphos           
8.49604970e+03  gen1perm9       3.25713000e-01  2.24812800e+00  5.27100000e-02  1.20836010e+01  9.76468340e+01  4.68430000e-02  
1.58132738e+04  gen1perm4       5.06228400e+00  2.38662895e+02  4.26608222e+02  1.57886000e-01  7.66647090e+01  5.28470000e-02  
1.62256233e+04  gen1perm7       4.38321500e+00  3.42500000e-03  2.26704800e+00  4.86838034e+02  3.92321200e+00  2.82884300e+00  
1.65675002e+04  gen1perm3       9.23860000e-02  1.75500000e-03  4.14410000e-01  2.08219000e-01  4.15823700e+00  2.63672700e+00  
1.68949713e+04  gen1perm10      3.47280000e-02  8.08026022e+02  1.66945418e+02  2.05180000e-02  5.54800000e-03  3.65800000e-03  
1.70757842e+04  gen1perm6       1.94748000e-01  8.58200000e-02  6.87684500e+00  1.83600000e-03  9.02856000e-01  5.65010772e+02  
1.70927825e+04  gen1perm1       1.43209600e+00  3.28300000e-03  1.42330000e-02  9.53589700e+00  2.19480337e+02  1.23982000e-01  
1.71024005e+04  gen1perm8       5.14100000e-03  1.76720000e-02  6.57140000e-02  1.36697850e+01  5.52900000e-03  3.18948700e+00  
1.71025857e+04  gen1perm5       6.50984000e-01  7.64110000e-02  1.11300000e-03  3.31567730e+02  3.94004500e+00  3.19600000e-03  
1.87111040e+04  gen1perm2       3.67543635e+02  2.76366200e+00  8.39260000e-02  4.49528180e+01  3.54182410e+01  2.03571620e+01  
