Fit             Iteration       K2RT            KD1             kdephos         km1             km2             kphos           
8.44149518e+03  gen1perm9       2.65660000e-02  7.05740000e-02  1.05320920e+01  2.80077280e+01  2.38580000e-02  4.25657191e+02  
1.03203186e+04  gen10perm2      1.11442000e-01  7.05740000e-02  7.86881000e+00  2.80077280e+01  9.92178600e+00  3.98454403e+02  
1.05276104e+04  gen9perm3       1.11442000e-01  7.05740000e-02  8.40301300e+00  2.80077280e+01  9.92178600e+00  3.98454403e+02  
1.05276104e+04  gen10perm5      1.11442000e-01  7.05740000e-02  8.40301300e+00  2.80077280e+01  9.92178600e+00  3.98454403e+02  
1.05757809e+04  gen9perm2       1.21394000e-01  7.62580000e-02  9.33046600e+00  2.80077280e+01  9.25948400e+00  4.35355257e+02  
1.05814279e+04  gen7perm4       1.21394000e-01  7.68710000e-02  9.33046600e+00  2.80077280e+01  9.25948400e+00  4.25657191e+02  
1.07528708e+04  gen8perm8       1.11442000e-01  7.41850000e-02  8.40301300e+00  2.80077280e+01  9.13571400e+00  3.98454403e+02  
1.07528708e+04  gen9perm1       1.11442000e-01  7.41850000e-02  8.40301300e+00  2.80077280e+01  9.13571400e+00  3.98454403e+02  
1.09113887e+04  gen9perm5       1.21394000e-01  7.68710000e-02  1.05320920e+01  2.80077280e+01  9.25948400e+00  4.25657191e+02  
1.09156273e+04  gen10perm9      1.21394000e-01  7.70140000e-02  1.05320920e+01  2.80077280e+01  9.25948400e+00  4.18753002e+02  
1.09792546e+04  gen8perm3       1.11442000e-01  7.68710000e-02  9.16287200e+00  2.80077280e+01  9.13571400e+00  4.25657191e+02  
1.10279699e+04  gen8perm5       1.11442000e-01  7.05740000e-02  9.33046600e+00  2.80077280e+01  9.13571400e+00  4.25657191e+02  
1.10279705e+04  gen6perm1       1.11442000e-01  7.68710000e-02  9.33046600e+00  2.80077280e+01  9.13571400e+00  4.25657191e+02  
1.10531396e+04  gen9perm7       1.11500000e-01  7.33540000e-02  1.00000810e+01  5.12190000e-02  9.74782500e+00  4.25657191e+02  
1.11915528e+04  gen7perm3       1.11500000e-01  7.41850000e-02  9.78226800e+00  4.90210000e-02  8.97164800e+00  4.25657191e+02  
1.11915528e+04  gen8perm9       1.11500000e-01  7.41850000e-02  9.78226800e+00  5.28350000e-02  8.97164800e+00  4.25657191e+02  
1.11915530e+04  gen8perm7       1.11500000e-01  7.68710000e-02  9.78226800e+00  4.90210000e-02  8.97164800e+00  4.25657191e+02  
1.12187938e+04  gen5perm7       1.06952000e-01  7.68710000e-02  9.33046600e+00  4.90210000e-02  9.13571400e+00  4.25657191e+02  
1.12187938e+04  gen7perm7       1.06952000e-01  7.68710000e-02  9.33046600e+00  4.66420000e-02  9.13571400e+00  4.25657191e+02  
1.12187938e+04  gen7perm9       1.06952000e-01  7.68710000e-02  9.33046600e+00  4.90210000e-02  9.13571400e+00  4.25657191e+02  
1.12411241e+04  gen6perm6       1.06952000e-01  7.68710000e-02  9.33046600e+00  4.92050000e-02  9.13571400e+00  3.87583741e+02  
1.12835927e+04  gen8perm4       1.06952000e-01  7.68710000e-02  9.42522700e+00  4.66420000e-02  8.98554000e+00  4.25657191e+02  
1.13527217e+04  gen7perm1       1.11442000e-01  7.55930000e-02  1.05320920e+01  2.84505140e+01  9.13571400e+00  3.98636750e+02  
1.13802447e+04  gen4perm1       1.06952000e-01  7.05740000e-02  9.78226800e+00  4.90210000e-02  8.97164800e+00  4.25657191e+02  
1.13802447e+04  gen5perm6       1.06952000e-01  7.05740000e-02  9.78226800e+00  4.90210000e-02  8.97164800e+00  4.25657191e+02  
1.13802453e+04  gen6perm5       1.06952000e-01  7.64620000e-02  9.78226800e+00  4.94740000e-02  8.97164800e+00  4.25657191e+02  
1.14023643e+04  gen5perm1       1.06952000e-01  7.64620000e-02  9.78226800e+00  4.90210000e-02  8.97164800e+00  3.87583741e+02  
1.14731535e+04  gen3perm6       1.09026000e-01  7.05740000e-02  1.05320920e+01  4.90440000e-02  8.97164800e+00  4.25657191e+02  
1.15155661e+04  gen7perm10      1.07978000e-01  7.05740000e-02  1.05320920e+01  4.90440000e-02  8.97164800e+00  4.25657191e+02  
1.15189234e+04  gen6perm3       1.06952000e-01  7.68710000e-02  1.05320920e+01  4.90210000e-02  9.13571400e+00  4.25657191e+02  
1.15423820e+04  gen6perm9       1.06952000e-01  7.05740000e-02  9.78226800e+00  4.80180000e-02  8.32724400e+00  4.25657191e+02  
1.17463131e+04  gen4perm5       1.02345000e-01  3.37090000e-02  1.05320920e+01  4.54290000e-02  8.97164800e+00  4.25657191e+02  
1.24663271e+04  gen6perm7       1.14414000e-01  3.60640000e-02  1.56317600e+01  5.36570000e-02  9.23155400e+00  1.54828140e+02  
1.25667731e+04  gen3perm10      1.14414000e-01  3.60640000e-02  1.56317600e+01  4.90440000e-02  8.52858100e+00  1.54828140e+02  
1.25667731e+04  gen5perm4       1.14414000e-01  3.60640000e-02  1.56317600e+01  4.90440000e-02  8.52858100e+00  1.54828140e+02  
1.26403627e+04  gen4perm3       1.14414000e-01  3.60640000e-02  1.57305180e+01  4.90440000e-02  8.46460100e+00  1.41746274e+02  
1.26706989e+04  gen2perm8       1.09026000e-01  3.60640000e-02  1.56317600e+01  4.90440000e-02  9.17729400e+00  1.48805212e+02  
1.26706989e+04  gen3perm7       1.09026000e-01  3.60640000e-02  1.56317600e+01  4.90440000e-02  9.17729400e+00  1.48805212e+02  
