Fit             Iteration       f1_ZAKtoMKK7P   f3_MKK7byZAK    k3_JNKbyMKK4    k3_JNKbyMKK7    k3_MKK4byZAK    k3_MKK7byJNK    k3_MKK7byZAK    scale_ppJNK     scale_ppMKK4    scale_ppMKK7    scale_t         
1.25175900e+00  1337            1.91666450e+01  6.20280530e+01  6.10071000e-01  5.09696100e+00  6.85786000e-01  1.13892900e+00  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.24832500e+00  
1.25204800e+00  1478            1.94556800e+01  6.18352150e+01  6.10071000e-01  4.95097600e+00  7.07976000e-01  1.13892900e+00  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.24832500e+00  
1.25228700e+00  1444            2.07566000e+01  6.43999380e+01  6.09666000e-01  5.04412500e+00  6.85786000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.29400800e+00  
1.25232200e+00  1373            1.72627010e+01  6.13392630e+01  6.07465000e-01  4.95097600e+00  7.07976000e-01  1.11126200e+00  1.27430000e-02  8.51352000e-01  1.03565800e+00  1.01006500e+00  2.21616700e+00  
1.25232200e+00  1410            2.07566000e+01  6.43999380e+01  6.09666000e-01  5.04412500e+00  7.07976000e-01  1.02391900e+00  1.26750000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
1.25243300e+00  1499            2.19385070e+01  6.20280530e+01  6.09666000e-01  5.13132500e+00  7.07054000e-01  1.04455700e+00  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
1.25246200e+00  1318            1.77829600e+01  6.18352150e+01  6.10071000e-01  4.95097600e+00  7.07976000e-01  1.04455700e+00  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.24832500e+00  
1.25246200e+00  1453            1.77829600e+01  6.18352150e+01  6.10071000e-01  4.95097600e+00  7.07976000e-01  1.04455700e+00  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.24832500e+00  
1.25246300e+00  1445            1.72627010e+01  6.32356530e+01  6.07465000e-01  5.13132500e+00  7.07976000e-01  1.02342300e+00  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.23763000e+00  
1.25249200e+00  1495            1.72627010e+01  6.32356530e+01  6.10071000e-01  5.13132500e+00  7.07976000e-01  1.02342300e+00  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.23763000e+00  
1.25253300e+00  1476            1.72627010e+01  6.43999380e+01  6.07465000e-01  5.04412500e+00  7.06689000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
1.25253400e+00  1435            1.91666450e+01  6.20280530e+01  6.09666000e-01  5.13132500e+00  7.07976000e-01  1.04455700e+00  1.27430000e-02  8.55503000e-01  1.03620500e+00  9.90177000e-01  2.23763000e+00  
1.25254300e+00  1314            1.72627010e+01  6.20280530e+01  6.09666000e-01  5.13132500e+00  7.07054000e-01  1.04455700e+00  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
1.25254300e+00  1424            1.72627010e+01  6.20280530e+01  6.09666000e-01  5.13132500e+00  7.07054000e-01  1.04455700e+00  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
