Fit             Iteration       K1              K2              alpha           
1.13921000e-01  2568            7.82180000e-02  3.11676580e+01  7.28564000e-01  
1.14326000e-01  1950            5.84510000e-02  2.89395920e+01  7.10280000e-01  
1.21279000e-01  2606            7.82180000e-02  3.11676580e+01  7.28564000e-01  
1.22094000e-01  2260            7.81830000e-02  2.96797880e+01  7.28564000e-01  
1.25298000e-01  2109            7.16160000e-02  2.79321100e+01  7.28564000e-01  
1.27060000e-01  2468            7.82180000e-02  3.11676580e+01  7.28564000e-01  
1.29426000e-01  2384            7.26640000e-02  2.76526120e+01  7.28564000e-01  
1.29794000e-01  2121            7.35900000e-02  3.16424700e+01  7.30004000e-01  
1.29815000e-01  2609            7.81830000e-02  3.18879380e+01  7.28564000e-01  
1.29986000e-01  1613            7.35900000e-02  2.71315690e+01  7.30004000e-01  
1.30009000e-01  2676            7.82180000e-02  3.16424700e+01  7.30004000e-01  
1.30334000e-01  2210            7.12340000e-02  2.78695090e+01  7.28564000e-01  
1.30613000e-01  1655            6.98950000e-02  2.78695090e+01  7.28564000e-01  
1.30895000e-01  2309            7.69760000e-02  2.76714080e+01  7.28564000e-01  
1.31365000e-01  2571            7.73280000e-02  3.16424700e+01  7.30004000e-01  
1.31496000e-01  1906            7.35900000e-02  2.84186590e+01  7.28564000e-01  
1.32527000e-01  2474            7.81830000e-02  3.18879380e+01  7.28564000e-01  
1.32642000e-01  1807            7.35900000e-02  2.84186590e+01  7.28564000e-01  
1.32659000e-01  1689            7.35900000e-02  2.71315690e+01  7.28564000e-01  
1.33163000e-01  2666            7.10310000e-02  3.01789060e+01  7.28564000e-01  
1.33661000e-01  2521            7.35900000e-02  3.11676580e+01  7.13967000e-01  
1.33915000e-01  2591            7.69760000e-02  2.78695090e+01  7.28564000e-01  
1.34015000e-01  1551            6.98950000e-02  2.75414820e+01  7.31048000e-01  
1.34228000e-01  2563            7.35900000e-02  2.96797880e+01  7.30004000e-01  
1.34265000e-01  2551            7.35900000e-02  3.11676580e+01  7.28564000e-01  
1.34409000e-01  2644            7.82180000e-02  3.11676580e+01  7.28564000e-01  
1.34440000e-01  1970            7.35900000e-02  2.78695090e+01  7.28564000e-01  
1.34646000e-01  1414            7.10310000e-02  2.58864490e+01  7.28564000e-01  
1.34733000e-01  2507            7.35900000e-02  3.16424700e+01  7.30004000e-01  
1.34969000e-01  2649            7.35900000e-02  3.11676580e+01  7.28564000e-01  
