Fit             Iteration       K2RT            KD1             kdephos         km1             km2             kphos           
2.02994862e+03  482             5.03065020e+01  6.63507262e+02  6.89907384e+02  1.21510252e+02  4.33917220e+01  8.02652020e+02  
2.07692123e+03  918             1.37618570e+02  4.78049540e+01  8.49298628e+02  1.08020132e+02  8.40660076e+02  8.27569419e+02  
2.09748859e+03  578             5.45336670e+01  4.28308194e+02  7.73419786e+02  4.40820508e+02  5.49696657e+02  8.64660458e+02  
2.10034038e+03  891             1.59643671e+02  1.26516307e+02  8.51374834e+02  3.59749659e+02  9.99310196e+02  8.16681151e+02  
2.11622213e+03  533             1.96513994e+02  1.16113310e+02  5.83321869e+02  4.92429317e+02  9.62316551e+02  5.76811379e+02  
2.12388339e+03  800             1.78304332e+02  2.30621630e+02  3.58988340e+01  4.18014900e+02  6.38638858e+02  3.44425410e+01  
2.12484218e+03  641             1.14641889e+02  2.44250129e+02  7.79123408e+02  6.98414806e+02  9.46494216e+02  7.41241535e+02  
2.13146687e+03  12              5.17132340e+01  4.37589000e-01  4.90600000e-03  8.73500710e+01  1.35009800e+01  6.01900000e-03  
2.13724045e+03  890             4.26015850e+01  6.66137493e+02  6.45898577e+02  8.01885267e+02  6.25440614e+02  6.54494929e+02  
2.15005821e+03  987             9.35568516e+02  3.06603900e+00  7.12891031e+02  9.91954096e+02  6.77203024e+02  6.62825385e+02  
2.15489358e+03  483             5.64899522e+02  1.64581210e+02  8.26096828e+02  2.42261333e+02  6.37111967e+02  7.60714413e+02  
2.15807332e+03  181             5.64042110e+02  2.09732652e+02  7.26775264e+02  4.67309114e+02  4.56670202e+02  6.69871780e+02  
2.16428661e+03  616             5.15590795e+02  3.77643522e+02  7.69601337e+02  6.05518378e+02  2.89435948e+02  7.23947563e+02  
2.16449141e+03  409             1.79271446e+02  7.17166528e+02  3.77174821e+02  1.78410532e+02  4.60028000e-01  4.17316662e+02  
2.16625126e+03  980             8.23908147e+02  2.21580732e+02  7.48240365e+02  7.04013524e+02  3.66161325e+02  6.99600937e+02  
2.16887384e+03  760             6.40361251e+02  1.72401883e+02  6.87433257e+02  4.94718908e+02  1.16748400e+01  6.94029578e+02  
